# Renewables.ninja Weather (Point API) - 47.393, 8.044 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Zurich, temperature in ºC, precipitation in mm/h, snowfall in mm/h, snow_mass in kg/m², air_density in kg/m³, radiation_surface in W/m², radiation_toa in W/m², cloud_cover in fraction
# {"units": {"time": "UTC", "local_time": "Europe/Zurich", "temperature": "\u00baC", "precipitation": "mm/h", "snowfall": "mm/h", "snow_mass": "kg/m\u00b2", "air_density": "kg/m\u00b3", "radiation_surface": "W/m\u00b2", "radiation_toa": "W/m\u00b2", "cloud_cover": "fraction"}, "params": {"local_time": true, "header": true, "lat": "47.3927146", "lon": "8.0444448", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": true, "var_snomas": true, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,temperature,precipitation,snowfall,snow_mass,air_density,radiation_surface,radiation_toa,cloud_cover
2019-01-01 00:00,2019-01-01 01:00,0.772,0.002,0,2.095,1.208,0,0,0.543
2019-01-01 01:00,2019-01-01 02:00,0.434,0.002,0,2.095,1.209,0,0,0.824
2019-01-01 02:00,2019-01-01 03:00,0.349,0.002,0,2.095,1.210,0,0,0.965
2019-01-01 03:00,2019-01-01 04:00,0.568,0.001,0,2.095,1.209,0,0,0.969
2019-01-01 04:00,2019-01-01 05:00,0.899,0.001,0,2.095,1.209,0,0,0.970
2019-01-01 05:00,2019-01-01 06:00,0.801,0.002,0,2.096,1.209,0,0,0.970
2019-01-01 06:00,2019-01-01 07:00,0.812,0.002,0,2.095,1.210,0,0,0.966
2019-01-01 07:00,2019-01-01 08:00,0.770,0.003,0.001,2.095,1.212,11.608,47.845,0.968
2019-01-01 08:00,2019-01-01 09:00,1.217,0.003,0,2.091,1.213,49.687,218.045,0.991
2019-01-01 09:00,2019-01-01 10:00,1.663,0.002,0,2.076,1.213,82.664,355.364,0.968
2019-01-01 10:00,2019-01-01 11:00,2.090,0.003,0,2.030,1.211,133.250,440.733,0.879
2019-01-01 11:00,2019-01-01 12:00,2.311,0.004,0,1.963,1.209,156.686,468.468,0.902
2019-01-01 12:00,2019-01-01 13:00,2.459,0.005,0,1.897,1.207,136.068,436.611,0.899
2019-01-01 13:00,2019-01-01 14:00,2.421,0.009,0,1.849,1.206,108.561,347.342,0.770
2019-01-01 14:00,2019-01-01 15:00,1.672,0.014,0,1.828,1.207,60.663,206.754,0.628
2019-01-01 15:00,2019-01-01 16:00,0.464,0.016,0,1.824,1.207,8.705,38.897,0.574
2019-01-01 16:00,2019-01-01 17:00,0.188,0.015,0,1.823,1.208,0,0,0.562
2019-01-01 17:00,2019-01-01 18:00,0.209,0.015,0.001,1.824,1.209,0,0,0.568
2019-01-01 18:00,2019-01-01 19:00,0.297,0.078,0.014,1.831,1.210,0,0,0.586
2019-01-01 19:00,2019-01-01 20:00,0.343,0.112,0.031,1.851,1.211,0,0,0.637
2019-01-01 20:00,2019-01-01 21:00,0.407,0.149,0.032,1.877,1.211,0,0,0.708
2019-01-01 21:00,2019-01-01 22:00,0.404,0.174,0.043,1.910,1.212,0,0,0.760
2019-01-01 22:00,2019-01-01 23:00,0.370,0.210,0.064,1.960,1.213,0,0,0.784
2019-01-01 23:00,2019-01-02 00:00,0.341,0.229,0.093,2.034,1.213,0,0,0.801
2019-01-02 00:00,2019-01-02 01:00,0.324,0.201,0.105,2.131,1.213,0,0,0.786
2019-01-02 01:00,2019-01-02 02:00,0.191,0.194,0.114,2.239,1.213,0,0,0.673
2019-01-02 02:00,2019-01-02 03:00,-0.365,0.179,0.110,2.350,1.214,0,0,0.602
2019-01-02 03:00,2019-01-02 04:00,-0.836,0.141,0.098,2.455,1.215,0,0,0.494
2019-01-02 04:00,2019-01-02 05:00,-1.436,0.090,0.083,2.547,1.217,0,0,0.382
2019-01-02 05:00,2019-01-02 06:00,-1.964,0.057,0.053,2.614,1.219,0,0,0.375
2019-01-02 06:00,2019-01-02 07:00,-2.213,0.047,0.047,2.661,1.222,0,0,0.437
2019-01-02 07:00,2019-01-02 08:00,-1.869,0.056,0.056,2.714,1.224,12.728,48.976,0.577
2019-01-02 08:00,2019-01-02 09:00,-1.014,0.071,0.071,2.778,1.225,68.314,219.795,0.489
2019-01-02 09:00,2019-01-02 10:00,-0.299,0.092,0.089,2.856,1.224,171.633,357.141,0.282
2019-01-02 10:00,2019-01-02 11:00,0.404,0.106,0.097,2.929,1.221,238.433,442.608,0.398
2019-01-02 11:00,2019-01-02 12:00,0.797,0.110,0.080,2.986,1.218,223.588,470.346,0.376
2019-01-02 12:00,2019-01-02 13:00,1.027,0.099,0.070,3.028,1.216,211.412,438.486,0.459
2019-01-02 13:00,2019-01-02 14:00,0.804,0.124,0.067,3.075,1.216,127.006,349.128,0.486
2019-01-02 14:00,2019-01-02 15:00,0.153,0.101,0.066,3.135,1.217,71.732,208.504,0.438
2019-01-02 15:00,2019-01-02 16:00,-1.194,0.079,0.069,3.202,1.219,10.301,39.948,0.419
2019-01-02 16:00,2019-01-02 17:00,-1.806,0.076,0.072,3.274,1.221,0,0,0.429
2019-01-02 17:00,2019-01-02 18:00,-1.941,0.086,0.083,3.353,1.223,0,0,0.427
2019-01-02 18:00,2019-01-02 19:00,-2.214,0.305,0.282,3.549,1.224,0,0,0.406
2019-01-02 19:00,2019-01-02 20:00,-2.570,0.254,0.235,3.805,1.225,0,0,0.298
2019-01-02 20:00,2019-01-02 21:00,-2.967,0.131,0.126,3.978,1.227,0,0,0.273
2019-01-02 21:00,2019-01-02 22:00,-3.207,0.093,0.092,4.086,1.228,0,0,0.201
2019-01-02 22:00,2019-01-02 23:00,-3.459,0.057,0.057,4.158,1.229,0,0,0.174
2019-01-02 23:00,2019-01-03 00:00,-3.699,0.017,0.017,4.192,1.231,0,0,0.197
2019-01-03 00:00,2019-01-03 01:00,-3.782,0.008,0.008,4.204,1.232,0,0,0.254
2019-01-03 01:00,2019-01-03 02:00,-3.826,0.006,0.006,4.212,1.235,0,0,0.254
2019-01-03 02:00,2019-01-03 03:00,-4.014,0.005,0.005,4.217,1.236,0,0,0.253
2019-01-03 03:00,2019-01-03 04:00,-4.303,0.003,0.003,4.222,1.238,0,0,0.200
2019-01-03 04:00,2019-01-03 05:00,-4.781,0.005,0.005,4.227,1.239,0,0,0.115
2019-01-03 05:00,2019-01-03 06:00,-5.174,0.006,0.006,4.233,1.241,0,0,0.083
2019-01-03 06:00,2019-01-03 07:00,-5.518,0.004,0.004,4.238,1.242,0,0,0.069
2019-01-03 07:00,2019-01-03 08:00,-5.525,0.004,0.004,4.242,1.243,22.223,50.241,0.060
2019-01-03 08:00,2019-01-03 09:00,-4.214,0.001,0.001,4.244,1.243,132.191,221.670,0.026
2019-01-03 09:00,2019-01-03 10:00,-2.543,0,0,4.242,1.239,244.702,359.141,0.005
2019-01-03 10:00,2019-01-03 11:00,-1.170,0,0,4.231,1.233,317.436,444.631,0.011
2019-01-03 11:00,2019-01-03 12:00,-0.505,0,0,4.207,1.230,337.583,472.382,0.046
2019-01-03 12:00,2019-01-03 13:00,-0.230,0.001,0.001,4.179,1.228,299.663,440.486,0.090
2019-01-03 13:00,2019-01-03 14:00,-0.322,0.003,0.002,4.160,1.227,218.532,351.104,0.163
2019-01-03 14:00,2019-01-03 15:00,-0.890,0.007,0.006,4.158,1.228,108.412,210.385,0.322
2019-01-03 15:00,2019-01-03 16:00,-2.102,0.023,0.018,4.171,1.228,14.245,41.112,0.381
2019-01-03 16:00,2019-01-03 17:00,-2.867,0.056,0.054,4.209,1.229,0,0,0.496
2019-01-03 17:00,2019-01-03 18:00,-3.131,0.096,0.094,4.285,1.230,0,0,0.522
2019-01-03 18:00,2019-01-03 19:00,-3.272,0.009,0.009,4.331,1.230,0,0,0.570
2019-01-03 19:00,2019-01-03 20:00,-3.272,0.012,0.012,4.342,1.231,0,0,0.615
2019-01-03 20:00,2019-01-03 21:00,-3.259,0.013,0.013,4.355,1.232,0,0,0.643
2019-01-03 21:00,2019-01-03 22:00,-3.402,0.011,0.011,4.367,1.232,0,0,0.518
2019-01-03 22:00,2019-01-03 23:00,-3.707,0.010,0.010,4.377,1.232,0,0,0.590
2019-01-03 23:00,2019-01-04 00:00,-3.921,0.011,0.011,4.388,1.233,0,0,0.804
2019-01-04 00:00,2019-01-04 01:00,-4.192,0.010,0.010,4.398,1.234,0,0,0.720
2019-01-04 01:00,2019-01-04 02:00,-4.337,0.006,0.006,4.406,1.236,0,0,0.944
2019-01-04 02:00,2019-01-04 03:00,-4.408,0.005,0.005,4.411,1.237,0,0,0.971
2019-01-04 03:00,2019-01-04 04:00,-4.324,0.004,0.004,4.416,1.237,0,0,0.975
2019-01-04 04:00,2019-01-04 05:00,-4.288,0.003,0.003,4.420,1.236,0,0,0.969
2019-01-04 05:00,2019-01-04 06:00,-4.349,0.002,0.002,4.422,1.236,0,0,0.959
2019-01-04 06:00,2019-01-04 07:00,-4.237,0.002,0.002,4.424,1.236,0,0,0.744
2019-01-04 07:00,2019-01-04 08:00,-4.201,0.002,0.002,4.426,1.236,20.015,51.630,0.485
2019-01-04 08:00,2019-01-04 09:00,-2.870,0.001,0.001,4.427,1.235,114.795,223.719,0.632
2019-01-04 09:00,2019-01-04 10:00,-1.389,0.001,0.001,4.424,1.233,206.130,361.266,0.924
2019-01-04 10:00,2019-01-04 11:00,-0.364,0,0,4.396,1.229,258.867,446.858,0.954
2019-01-04 11:00,2019-01-04 12:00,0.315,0,0,4.337,1.225,244.902,474.632,0.575
2019-01-04 12:00,2019-01-04 13:00,0.865,0,0,4.249,1.222,292.678,442.736,0.465
2019-01-04 13:00,2019-01-04 14:00,0.929,0,0,4.173,1.220,202.721,353.342,0.909
2019-01-04 14:00,2019-01-04 15:00,0.215,0,0,4.152,1.220,91.328,212.492,0.916
2019-01-04 15:00,2019-01-04 16:00,-1.034,0,0,4.151,1.221,10.730,42.397,0.982
2019-01-04 16:00,2019-01-04 17:00,-1.685,0,0,4.151,1.221,0,0,0.780
2019-01-04 17:00,2019-01-04 18:00,-2.154,0,0,4.152,1.223,0,0,0.702
2019-01-04 18:00,2019-01-04 19:00,-2.390,0.001,0.001,4.153,1.224,0,0,0.808
2019-01-04 19:00,2019-01-04 20:00,-2.863,0.003,0.003,4.156,1.226,0,0,0.809
2019-01-04 20:00,2019-01-04 21:00,-3.236,0.009,0.009,4.162,1.227,0,0,0.838
2019-01-04 21:00,2019-01-04 22:00,-3.434,0.014,0.014,4.174,1.228,0,0,0.894
2019-01-04 22:00,2019-01-04 23:00,-3.712,0.021,0.021,4.193,1.229,0,0,0.928
2019-01-04 23:00,2019-01-05 00:00,-3.749,0.032,0.032,4.220,1.229,0,0,0.968
2019-01-05 00:00,2019-01-05 01:00,-3.638,0.032,0.032,4.252,1.230,0,0,0.981
2019-01-05 01:00,2019-01-05 02:00,-3.604,0.025,0.025,4.280,1.230,0,0,0.987
2019-01-05 02:00,2019-01-05 03:00,-3.491,0.017,0.017,4.301,1.230,0,0,0.986
2019-01-05 03:00,2019-01-05 04:00,-3.445,0.013,0.013,4.316,1.229,0,0,0.946
2019-01-05 04:00,2019-01-05 05:00,-3.269,0.014,0.014,4.329,1.228,0,0,0.919
2019-01-05 05:00,2019-01-05 06:00,-3.540,0.035,0.035,4.354,1.227,0,0,0.856
2019-01-05 06:00,2019-01-05 07:00,-3.502,0.157,0.157,4.456,1.227,0,0,0.750
2019-01-05 07:00,2019-01-05 08:00,-3.099,0.324,0.324,4.703,1.228,10.739,53.137,0.801
2019-01-05 08:00,2019-01-05 09:00,-2.195,0.365,0.363,5.053,1.228,46.438,225.907,0.822
